OBJECTID;SOURCE;X_Este;Y_Norte;MINERAL_PPAL;FORMA_OCURRENCIA;ID_NOM_DEP;IG_MUN;IG_DEP
173;SGC;816894.525;1146850.576;Oro-Au;Diseminado;Proyecto La Mina_Target La Cantera;Fredonia;Antioquia
174;SGC;749831.869;1236445.035;Cobre-Cu;Sin información;Cantera Piedras Blancas;Frontino;Antioquia
175;SGC;770001.964;1202006.041;Oro-Au;Sin información;La Lunareja;Frontino;Antioquia
176;SGC;766052.632;1231569.6;Oro-Au;Veta;Mina 7 Cueros;Frontino;Antioquia
177;SGC;762562.582;1227932.682;Oro-Au;Veta;Mina Campamento;Frontino;Antioquia
178;SGC;769512.293;1233369.722;Oro-Au;Veta;Mina El Gurupero;Frontino;Antioquia
179;SGC;763731.295;1224386.3;Oro-Au;Veta;Mina Todos Los Santos;Frontino;Antioquia
180;SGC;776506.612;1206505.939;Oro-Au;Veta;Morro de Urrao;Frontino;Antioquia
181;SGC;844970.95;1200435.44;Oro-Au;Veta;Mina El Encenillal;Girardota;Antioquia
182;SGC;876114.999;1242379.961;Antimonio-Sb;Veta;Cañaveral;Gómez Plata;Antioquia
183;SGC;876261.258;1243474.673;Oro-Au;Veta;El Oso-Gómez Plata;Gómez Plata;Antioquia
184;SGC;873397.183;1229079.706;Oro-Au;Zona de Cizalla;Mina Santa María o Mocorongo;Gómez Plata;Antioquia
185;SGC;878676.181;1255215.989;Oro-Au;Veta;La Bramadora;Guadalupe;Antioquia
186;SGC;871942.128;1245121.874;Oro-Au;Veta;La Petronila_Guadalupe;Guadalupe;Antioquia
187;SGC;874634.303;1247482.592;Cobre-Cu;Masivo;No Indicado_05_0020;Guadalupe;Antioquia
188;SGC;874634.303;1247482.592;Cobre-Cu;Masivo;No Indicado_05_0023;Guadalupe;Antioquia
189;SGC;873232.485;1253060.767;Oro-Au;Veta;San Basilo Abajo;Guadalupe;Antioquia
190;SGC;883504.405;1180246.347;Oro-Au;Sin información;Monserrate;Guatapé;Antioquia
191;SGC;812650.828;1287660.474;Cobre-Cu;Sin información;No Indicado_05_0084;Ituango;Antioquia
192;SGC;811170.324;1278770.448;Cobre-Cu;Sin información;No Indicado_05_0087;Ituango;Antioquia
193;SGC;811128.689;1276469.275;Cobre-Cu;Sin información;No Indicado_05_0090;Ituango;Antioquia
194;SGC;811584.605;1274210.536;Cobre-Cu;Sin información;No Indicado_05_0091;Ituango;Antioquia
195;SGC;814063.817;1278206.659;Cobre-Cu;Sin información;No Indicado_05_0096;Ituango;Antioquia
196;SGC;816140.239;1280920.862;Níquel-Ni;Sin información;Totumo;Ituango;Antioquia
197;SGC;812047.326;1126331.406;Oro-Au;Diseminado;Quebradona-Isabella;Jericó;Antioquia
198;SGC;816840.925;1124724.321;Oro-Au;Diseminado;Quebradona-La Sola;Jericó;Antioquia
199;SGC;816083.823;1127326.355;Cobre-Cu;Diseminado;Quebradona-Nuevo Chaquiro;Jericó;Antioquia
200;SGC;803754.136;1240250.034;Oro-Au;Aluvial;La Honda;Liborina;Antioquia
201;SGC;808500.85;1228250.607;Oro-Au;Aluvial;Mina;Liborina;Antioquia
202;SGC;815941.68;1243326.946;Oro-Au;Veta;Mina La Cascada;Liborina;Antioquia
203;SGC;811447.033;1235675.289;Oro-Au;Veta;No Indicado_05_0024;Liborina;Antioquia
204;SGC;807201.665;1242428.274;Oro-Au;Sin información;No Indicado_05_0025;Liborina;Antioquia
205;SGC;804004.157;1236000.441;Oro-Au;Aluvial;Tesorero;Liborina;Antioquia
206;SGC;838509.038;1188937.455;Níquel-Ni;Sin información;La Gabriela;Medellín;Antioquia
207;SGC;838931.344;1185562.261;Cromo-Cr;Sin información;No Indicado_05_0026;Medellín;Antioquia
208;SGC;840081.4;1177041.134;Cromo-Cr;Sin información;Sector Sur-Área Patio Bonito-AC-20_P-1;Medellín;Antioquia
209;SGC;739281.79;1292855.599;Platino-Pt;Aluvial;No Indicado_05_0027;Mutatá;Antioquia
210;SGC;881774.018;1108776.594;Oro-Au;Diseminado;Espíritu Santo;Nariño;Antioquia
211;SGC;885880.754;1112551.927;Oro-Au;Diseminado;Santa Rita_Río Dulce;Nariño;Antioquia
212;SGC;808753.273;1224499.037;Oro-Au;Aluvial;El Caracol;Olaya;Antioquia
